Account Name,Account ID,First Name,Last Name,Title,Department,Phone,Email,Mailing Street,Mailing City,Mailing State,Mailing Postal Code,Mailing Country,Mailing Latitude,Mailing Longitude,Description,Lead Source,Status,Created Date,Last Activity Date
Little Meadows,001734500871,Timothy,Scott,Senior Manager,Field Operations,(515) 878-8524,timothy77@yahoo.com,6789 Dirt Road,Rural City 13,Ohio,50094,United States,38.450927,-72.839677,Agricultural specialist with expertise in organic farming,Trade Show,Active,2023-10-18,2025-07-21
Apple Ranch,001472341674,Donald,Mitchell,Farm Manager,General Management,(515) 731-6504,donald.mitchell@appleranch.com,13707 Dirt Road,Rural City 44,Nebraska,42098,United States,32.374724,-116.681379,Agricultural professional with focus on crop management,Referral,Active,2023-12-15,2025-07-02
Big Cattle,001160078515,Gerald,Davis,CEO,General Management,(712) 417-6913,gerald.davis@outlook.com,52324 County Road,Rural City 4,Indiana,96128,United States,40.591451,-85.270173,Farm owner with experience in precision agriculture,Trade Show,Active,2023-02-26,2025-05-10
Miller New Produce,001258222832,Paul,Morales,Supervisor,Management,(319) 781-4597,paul70@yahoo.com,80903 Rural Route,Rural City 18,Illinois,90815,United States,30.759115,-79.011094,Seasoned farmer with deep knowledge of local farming conditions,Phone Inquiry,Active,2022-12-08,2025-05-23
Brown Spring Grain,001494812712,Douglas,Foster,Senior Manager,Field Operations,(563) 863-4391,douglasfoster@gmail.com,4304 Rural Route,Rural City 3,Illinois,41283,United States,48.641139,-119.792258,Seasoned farmer with deep knowledge of local farming conditions,Web,Active,2024-01-23,2025-06-19
Williams Golden Cattle,001825785680,John,Mendoza,Supervisor,Operations,(641) 941-8084,john25@yahoo.com,8160 Valley Road,Rural City 50,Texas,63476,United States,32.841339,-82.16773,Agricultural professional with focus on soil management,Trade Show,Active,2024-07-19,2025-06-30
New Hills,001140563102,Paul,Price,Director,General Management,(712) 539-9346,paul79@yahoo.com,7297 Rural Route,Rural City 27,Wisconsin,35916,United States,47.197172,-69.370727,Agricultural professional with focus on soil management,Web,Active,2024-09-11,2025-06-17
Big Cattle,001160078515,David,Garcia,Managing Partner,Field Operations,(641) 208-7853,david_garcia@outlook.com,2914 County Road,Rural City 22,Minnesota,41124,United States,32.914276,-74.211747,Agricultural professional with focus on crop management,Trade Show,Active,2025-04-30,2025-06-07
Valley Estates,001213196550,Gabriel,Peterson,Director,Production,(712) 912-5613,gabriel.peterson@valleyestates.com,8915 Valley Road,Rural City 41,Nebraska,15206,United States,48.490003,-67.304614,Farm manager with strong background in livestock operations,Web,Active,2022-12-06,2025-06-11
Mountain Grain,001549497234,Matthew,Wright,General Manager,Production,(515) 287-2941,matthew.wright@yahoo.com,9190 Rural Route,Rural City 22,Illinois,58661,United States,33.928898,-119.175806,Multi-generational farmer specializing in sustainable practices,Cold Call,Active,2022-12-22,2025-06-20
