Account Name,Account ID,First Name,Last Name,Title,Department,Phone,Email,Mailing Street,Mailing City,Mailing State,Mailing Postal Code,Mailing Country,Mailing Latitude,Mailing Longitude,Description,Lead Source,Created Date,Last Activity Date
Corn Belt Ranch,001682242514,William,Lee,Operations Manager,Field Operations,(918) 476-5333,william.lee@outlook.com,3713 Valley Road,Hooker,Oklahoma,73952,United States,36.05747,-100.647597,"Farmer at Corn Belt Ranch, 4.57km from Sunny Estates",Referral,2023-12-04,2025-07-18
Oklahoma Valley,001363763929,Brian,Gonzalez,Owner,Field Operations,(405) 469-5359,brian.gonzalez@oklahomavalley.com,6280 Spring Road,Goodwell,Oklahoma,73933,United States,36.010817,-100.751721,"Farmer at Oklahoma Valley, 5.11km from Sunny Estates",Cold Call,2025-04-10,2025-07-23
Blue Sky Ranch,001270587736,Matthew,Carter,President,Production,(918) 261-1393,matthew.carter@blueskyranch.com,81094 County Road,Goodwell,Oklahoma,73937,United States,36.025683,-100.728958,"Farmer at Blue Sky Ranch, 2.19km from Sunny Estates",Cold Call,2023-12-17,2025-05-25
Sunset Fields,001418420021,Daniel,Taylor,Farm Manager,Operations,(405) 957-5476,daniel_taylor@gmail.com,1107 Farm Road,Balko,Oklahoma,73917,United States,36.097855,-100.696762,"Farmer at Sunset Fields, 8.04km from Sunny Estates",Trade Show,2023-08-28,2025-07-18
Clear Water Farm,001778889731,David,Clark,President,Management,(580) 820-1327,davidclark@hotmail.com,6093 Dirt Road,Turpin,Oklahoma,73956,United States,36.042624,-100.690242,"Farmer at Clear Water Farm, 1.09km from Sunny Estates",Trade Show,2023-01-22,2025-06-03
Clear Water Farm,001578372332,Joshua,Wright,General Manager,Management,(580) 470-1069,joshua_wright@gmail.com,8945 County Road,Beaver,Oklahoma,73947,United States,35.979058,-100.721131,"Farmer at Clear Water Farm, 5.6km from Sunny Estates",Phone Inquiry,2023-04-06,2025-07-25
Prairie View Ranch,001485466362,Donald,Martin,President,Production,(580) 837-1173,donald_martin@hotmail.com,86217 Valley Road,Hardesty,Oklahoma,73905,United States,35.968944,-100.656372,"Farmer at Prairie View Ranch, 6.77km from Sunny Estates",Cold Call,2023-09-13,2025-05-13
Panhandle Ranch,001846351033,George,Taylor,President,Operations,(918) 695-6952,george_taylor@gmail.com,2891 Farm Road,Texhoma,Oklahoma,73947,United States,36.061919,-100.659347,"Farmer at Panhandle Ranch, 4.65km from Sunny Estates",Referral,2024-01-10,2025-04-29
Panhandle Ranch,001740984029,Donald,Scott,President,Management,(918) 410-9884,donald.scott@outlook.com,2131 Spring Road,Hooker,Oklahoma,73971,United States,36.048788,-100.613889,"Farmer at Panhandle Ranch, 7.96km from Sunny Estates",Phone Inquiry,2024-11-30,2025-06-29
Lone Star Farm,001548125622,Joshua,Baker,Operations Manager,Management,(405) 583-5633,joshuabaker@hotmail.com,82391 Rural Route,Hooker,Oklahoma,73946,United States,35.990479,-100.783222,"Farmer at Lone Star Farm, 7.88km from Sunny Estates",Referral,2024-07-30,2025-06-25
High Plains Ranch,001492440568,Anthony,Hall,General Manager,Management,(580) 628-1707,anthony_hall@outlook.com,142 Farm Road,Texhoma,Oklahoma,73987,United States,36.044118,-100.667886,"Farmer at High Plains Ranch, 3.74km from Sunny Estates",Web,2025-02-21,2025-07-24
Corn Belt Ranch,001770724587,Paul,Carter,Operations Manager,Production,(580) 490-8548,paul.carter@cornbeltranch.com,809 Farm Road,Hardesty,Oklahoma,73929,United States,36.034692,-100.698087,"Farmer at Corn Belt Ranch, 0.15km from Sunny Estates",Cold Call,2024-03-08,2025-07-03
Sunny Valley Farm,001355894061,Anthony,Adams,Owner,Production,(580) 531-7482,anthonyadams@yahoo.com,65820 Rural Route,Hardesty,Oklahoma,73916,United States,36.035616,-100.653211,"Farmer at Sunny Valley Farm, 4.45km from Sunny Estates",Web,2025-02-10,2025-05-28
Golden Meadows,001535327793,Joseph,Clark,Farm Manager,Field Operations,(580) 568-6151,joseph.clark@gmail.com,95970 Valley Road,Texhoma,Oklahoma,73954,United States,35.987598,-100.69522,"Farmer at Golden Meadows, 5.33km from Sunny Estates",Trade Show,2024-12-23,2025-05-30
Rocky Ridge Farm,001846011540,Ryan,Lee,General Manager,Operations,(918) 526-9819,ryan.lee@hotmail.com,7559 Valley Road,Beaver,Oklahoma,73975,United States,36.048479,-100.70811,"Farmer at Rocky Ridge Farm, 3.22km from Sunny Estates",Phone Inquiry,2023-12-30,2025-05-19
